date,open,close,high,low
11/22/2021 19:30:00,103036.02,102122.37,104613.07,102122.37
11/23/2021 19:30:00,102123.95,103653.82,103841.23,101736.31
11/24/2021 19:30:00,103651.88,104514.19,105041.16,102464.29
11/25/2021 19:30:00,104514.19,105811.25,106400.41,104514.19
11/26/2021 19:30:00,105810.14,102224.26,105810.14,101494.7
11/29/2021 19:30:00,102226.78,102814.03,104148.72,102226.04
11/30/2021 18:00:00,102814.03,101915.45,103066.44,100074.61
12/1/2021 16:56:00,101916.3,100774.57,104086.68,100726.95
12/2/2021 16:56:00,100784.58,104466.24,104466.24,100784.58
12/3/2021 16:56:00,104466.6,105069.69,106718.41,104090.02
12/6/2021 16:56:00,105069.69,106858.87,107498.23,105069.69
12/7/2021 16:56:00,106868.21,107557.67,108655.2,106867.54
12/8/2021 16:56:00,107557.67,108095.53,108520.82,107308.6
12/9/2021 16:56:00,108094.77,106291.24,108094.77,105890.21
12/10/2021 16:56:00,106296.33,107758.34,108274.86,106296.33
12/13/2021 18:00:00,107758.34,107383.32,109492.91,107383.32
12/14/2021 18:00:00,107387.06,106759.92,109147.66,106444.53
12/15/2021 18:00:00,106762.55,107431.18,107603.3,105696.96
12/16/2021 18:00:00,107432.62,108326.33,109034.11,107432.62
12/17/2021 18:00:00,108324.23,107200.56,108324.34,106517.8
12/20/2021 18:00:00,107171.21,105019.78,107171.21,104357.81
12/21/2021 18:00:00,105019.78,105499.88,105905.69,105019.78
12/22/2021 18:00:00,105498.6,105243.72,105711.37,104385.91
12/23/2021 18:00:00,105251.13,104891.32,105453.25,104637.08
12/27/2021 18:00:00,104891.96,105554.4,105694.47,104798.45
12/28/2021 18:00:00,105554.65,104864.17,105652.11,104503.32
12/29/2021 18:00:00,104862.93,104107.24,105190.32,103850.81
12/30/2021 18:00:00,104106.37,104822.44,105269.01,104106.37
1/3/2022 16:56:00,104823.42,103921.59,106125.47,103413.4
1/4/2022 16:56:00,103921.59,103513.64,104276.32,103096.26
1/5/2022 16:56:00,103513.64,101005.64,103513.64,100849.56
1/6/2022 16:56:00,101005.8,101561.05,102234.71,100999.85
1/7/2022 16:56:00,101561.05,102719.47,102719.47,101103.98
1/10/2022 16:56:00,102719,101945.2,102719,101037.81
1/11/2022 16:56:00,101946.05,103778.98,103780.45,101918.4
1/12/2022 16:56:00,103778.98,105685.66,105869.32,103771.37
1/13/2022 16:56:00,105686.39,105529.5,106250.94,104974.25
1/14/2022 16:56:00,105530.43,106927.79,107061.73,105028.27
1/17/2022 16:56:00,106926.84,106373.87,106927.76,106096.76
1/18/2022 16:56:00,106369.27,106667.66,107012.6,105786.09
1/19/2022 16:56:00,106669.97,108013.47,108601.77,106668.94
1/20/2022 16:56:00,108015.27,109101.99,109873.35,108014.5
1/21/2022 16:56:00,109096.87,108941.68,109776.75,108367.73
1/24/2022 16:56:00,108941.15,107937.11,108948.16,106624.28
1/25/2022 16:56:00,107935.21,110203.77,110711.1,107185.38
1/26/2022 16:56:00,110206.5,111289.18,112694.6,110204.45
1/27/2022 16:56:00,111302.93,112611.65,113057.03,111302.93
1/28/2022 16:56:00,112610.76,111910.1,112968.87,111407.36
1/31/2022 16:56:00,111910.27,112143.51,112678.44,111194.57
2/1/2022 16:56:00,112143.42,113228.31,113302.13,112134.88
2/2/2022 16:56:00,113228.13,111894.36,113665.9,111645.07
2/3/2022 16:56:00,111897.22,111695.94,112502.18,111224.91
2/4/2022 16:56:00,111695.94,112244.94,112415.43,110320.84
2/7/2022 16:56:00,112247.11,111996.4,112516.6,111489.53
2/8/2022 16:56:00,111995.22,112234.46,112251.37,110943.44
2/9/2022 16:56:00,112232.54,112461.39,113163.31,111710.32
2/10/2022 16:56:00,112462.2,113367.77,113812.47,112163.1
2/11/2022 16:56:00,113367.77,113572.35,114899.26,113128.01
2/14/2022 16:56:00,113643,113899.19,114167,113358.16
2/15/2022 16:56:00,113905.44,114828.18,114828.18,113882.48
2/16/2022 16:56:00,114829.72,115180.95,115734.45,114815.5
2/17/2022 16:56:00,115180.69,113528.48,115214.29,113389.12
2/18/2022 16:56:00,113533.58,112879.85,114213.43,112701.12
2/21/2022 16:56:00,112880.28,111725.3,113404.77,111607.59
2/22/2022 16:56:00,111727.17,112891.8,113314.97,111727.17
2/23/2022 16:56:00,112891.8,112007.61,113721.38,111748.11
2/24/2022 16:56:00,112001.04,111591.87,112001.04,109125.24
2/25/2022 16:56:00,111590.72,113141.94,113141.94,110673.29
3/2/2022 16:56:00,113143.06,115173.61,115428.9,113143.06
3/3/2022 16:56:00,115173.43,115165.55,115947.68,115009.7
3/4/2022 16:56:00,115165.55,114473.78,115165.55,113389.43
3/7/2022 16:56:00,114468.77,111593.46,114529.28,111139.62
3/8/2022 16:56:00,111594.1,111203.45,112389.86,110969.26
